LSDnegative,LSDpositive
a lie,ability
abandon,abound
abas,absolv
abattoir,absorbent
abdicat,absorption
aberra,abundanc
abhor,abundant
abject,acced
abnormal,accentuat
abolish,accept
abominab,accessib
abominat,acclaim
abrasiv,acclamation
absent,accolad
abstrus,accommodat
absurd,accomplish
abus,accord
accident,accordan
accost,accorded
accursed,accords
accusation,accountab
accuse,accru
accusing,accuracy
acerbi,accurat
ache,accustom
aching,ace
achy,aced
acomia,aces
acrimon,achiev
adactylism,acquaintanc
addict,acquiesc
admonish,active
admonition,actual
adulterat,actuali
adultery,adaptab
advers,adaptive
affectation,adept
affected,adequat
affected manner,adhere
afflict,admirab
affright,admiration
affront,admire
afraid,admiring
against,admit
ageism,adopt
ageist,adorable
aggravat,adorably
aggress,adoration
aggressiv,adore
aggriev,adoring
aghast,adorn
agitat,adornment
agoni,adroit
agony,advanc
ail,advantag
aimles,adventur
alarm,advisab
alas,advocacy
alien,advocat
allegation,affab
allege,affability
alleged,affection
aloof,affinity
altercation,affirm
amateuri,affix
ambiguit,affluent
ambiguou,afford
ambivalent,afloat
ambush,agil
amiss,agree
amnesia,aid
amok,aided
amoral,aids
anal,alertness
anality,aliv
anally,allay
anarchist,allegian
anarchy,alleviat
anchoret,allianc
anchorit,allied
anger,allowab
angr,allowed
angry,allur
anguish,ally
animosity,alright
animus,amatory
annihilat,amaz
annoy,ameliorat
anomalous,amenab
antagoni,amends
anticlimax,amiab
antipath,amicab
antiquate,amnesty
antisocial,amore
antithe,amorous
anxi,amour
apath,ampl
apologist,amus
appal,angel
appall,angelic
apprehens,angels
arbitrar,animat
arduous,antiseptic
argue,apologetic
arguing,apologies
argument,apologis
arrogan,apologising
arse,apologiz
arsehole,apology
arses,appeas
artificial,applaud
artless,applaus
asham,apposit
asinin,appraisal
ass,apprecia
assail,apprehend
assassin,approv
assault,apt
asses,ardent
asshol,ardor
astray,ardour
asunder,aristocra
at odds,artful
atroc,artistic
atrophy,aspir
attack,assent
audacity,assert
auster,asset
authoritarian,assiduous
autocrat,assist
avaric,assistance
aveng,assisted
avers,assisting
avert,assists
avoid,assuag
awful,assuasiv
awkward,assur
awry,astut
ax,attach
axe,attachment
axed,attain
axes,attract
axing,attun
babbl,auspicious
back seat,authentic
backlash,authenticity
backlog,authoritative
backslide,autonom
backward,avid
bad,award
badd,awareness
badger,awesome
badland,backbon
badly,balance
badmouth,balmy
badness,beaming
baffl,beatif
bail,beatitude
bailed,beaut
bailee,becharm
bailer,befit
bailing,befriend
bails,behalf
bait,beloved
balk,benefactor
balked,benefic
balks,benefit
balky,benevolen
ballast,benign
balled,best
balling,betrothed
bamboozl,better
banal,bewitch
bandit,big break
bane,big heart
baneful,blameless
banes,bless
banish,bliss
bankrupt,blith
barb,bloom
barbarian,bloomed
barbarous,blooming
barbed,blooms
barbwire,bloomy
bare,blossom
barely,blow a kiss
baring,bold
bark,bolder
barked,boldest
barking,boldly
barks,boldness
barred,bolster
barren,bonny
barricad,boon
barring,bound by
bashful,bounden duty
bastard,bountiful
battered,brainy
batterer,brave
battering,break no bones
battle,break through
battled,breakthrough
battles,breathtaking
beak,bright
beaked,brillian
beaks,broadminded
beast,brotherhood
beatable,brotherly
beaten,buddy
beater,bullet proof
beating,bulletproof
bedevil,bull's eye
befuddl,buoyan
beggar,calm
begrudg,candid
beguil,candidly
behead,candidness
belabor,candor
belabour,candour
belated,capab
beleaguer,captivat
belie,care
belittl,cared
bellicose,carefre
belligeren,careful
bemus,carer
berat,cares
bereav,caress
bereft,caring
berserk,carol
beset,casual
besiege,casually
betray,cater
bewar,catered
bewilder,catering
beyond the pale,caters
bias,cautious
bicker,celebrat
big lie,celebrit
bigot,ceremon
bimbo,champ
bitch,champion
bite,champs
biting,charismatic
bitter,charit
bitty,charm
bizarr,chaste
black hole,cheap
black mark,cheaper
blackball,cheapest
blacken,cheaply
blacker,cheer
blackest,cheered
blackheart,cheerer
blackly,cheerful
blackmail,cheeri
blame,cheerlead
blamed,cheers
blameful,cheery
blamer,cherish
blames,cherub
blameworthy,chilled out
blanch,chuckl
bland,civil
blase,clarify
blasphem,classic
blast,classier
blasted,classiest
blaster,classiness
blasting,classy
blasts,clean
blatant,cleaned
bleak,cleaner
bleary,cleanest
blemish,cleaning
blind,cleanliness
blinded,cleans
blinder,cleanse
blindest,cleansing
blinding,cleanup
blindly,clear head
blindness,cleared
blinds,clearer
block,clearest
blockage,clearheaded
blocked,clearing
blockhead,clearness
blocking,clears
blocks,clever
blood,cling
blow,cloud nine
blowback,cloudless
blowhard,coaction
blowhole,coddl
blown,cogent
blows,cognizant
bluff,coherent
blunder,cohes
blunt,collaborative
blur,colleagu
blurred,combating
blurri,combats
blurry,combatting
blurs,come to life
blurt,come upon for
bluster,comeback
blustering,comely
boast,comfort
boastful,comfortab
boding,comforted
bog,comforter
bogeym,comforting
bogg,comforts
bogus,commemorat
boisterous,commend
bolt,commensurat
bomb,commiserat
bombard,commitment
bombast,commodious
bombed,companion
bomber,compassion
bombing,compatib
bombs,compensat
bondage,competen
boo,complacen
booing,complement
boorish,completeness
bore,complianc
boredom,compliment
boring,comply
botch,complying
bother,comprehensiv
boxed,conciliation
boxy,conciliatory
brainless,conclusiv
brandish,concur
brank,concurred
bravado,concurs
brawl,conduciv
brazen,confidant
breach,confide
breached,confided
breaching,confidenc
breakable,confident
breakage,confidently
breakdown,confides
breaking,confiding
breakup,confirm
breathless,congenial
bristle,congratulat
brittle,connect
brok,conque
broke,conscienc
broken,conscientious
brood,consensus
browbeaten,consent
bruise,conservation
bruising,conserve
brunt,considerat
brusqu,consign
brutal,consistency
brute,consistent
brutish,consolable
buffoon,consolation
bug,consolatory
bugged,console
bugger,consoled
bugging,consoles
bugs,consolidat
bull,consoling
bulldoz,construct
bulled,constructed
bullet,constructing
bullets,constructiv
bullhead,consummat
bullie,contented
bulling,contenting
bullish,contently
bullock,contentment
bullshit,continuity
bullwhip,contribution
bully,convenient
bum,convinc
bumble,convivial
bumbling,cool head
bumm,cooperat
bumped,coordinate
bumps,coordinated
bumpy,coordinates
bums,coordination
bungl,cope
burden,coping
burglar,cordial
buried,correct
burn,corrected
burned,correcting
burning,corrective
burnout,correctly
burns,correctness
burnt,cosy
bury,courag
bushed,courted
busted,courteous
butchery,courtesy
butt,courting
butted,courtli
butting,courtly
buttock,create
butts,created
by a side wind,creating
calamit,creation
callithump,creations
callous,creativ
camouflag,credibility
can of worms,credible
cancer,credit
cannibal,creditable
cannon,creditably
cannons,credited
cantankerous,crediting
capitulat,credits
capricious,crown
careless,crystal
carping,cuddl
carps,culminat
cast down,cultivat
cast off,cupid
castaway,cure
castigat,cured
castoff,curer
castrat,cures
casts,curiosity
casualt,curious
cataclysm,cute
catastroph,cutie
caustic,cutting edge
censor,danc
censur,daring
chafe,darlin
chagrin,dauntless
challeng,dazzl
chao,dear
charge,dearer
charlatan,dearest
chase,deari
chastis,dearly
cheapen,dearness
cheapness,dears
cheapo,decency
cheapskate,decent
cheat,decently
cheerless,decisiv
chide,decorat
chiding,dedicat
childish,defend
chill,defended
chilled,defender
chiller,defending
chilli,defends
chills,defensible
chilly,delicac
choke,delicate
choked,delicious
choker,delight
chokes,delightful
choking,dependab
choler,descry
clamor,deserv
clamour,desir
clash,determin
classism,detersiv
classist,devot
claw,dexter
clobber,digni
clog,diligent
cloud,dirt cheap
clouded,discern
cloudi,discover
clouds,discreet
cloudy,discretion
clumsi,dispensatory
clumsy,distinguished
clutter,divin
coarse,docil
cock,dominan
cocked,doubtless
cockeyed,doughty
cockfight,down to earth
cockier,dutiful
cockiest,eager
cockily,earnest
cockiness,ease
cockroach,eased
cocks,easeful
cocky,easement
coerc,eases
coers,easi
cold,easy
collaps,ebullient
collision,ecstatic
coma,educate
comas,educating
comatose,educational
combat,educations
combatant,educator
combated,effectiv
combative,efficac
comfortless,efficien
commoner,effort
commotion,elaborat
complain,elat
complexit,elegan
complicat,eloquent
conceal,embolden
conceit,embrac
concern,eminenc
concerned,eminent
condemn,empath
condescend,emperor
condescension,emphatic
confess,empower
confinement,enamor
confiscat,enamour
confiscation,enchant
conflict,encourag
confound,endear
confront,energetic
confus,energiz
connectionless,enhanc
conspir,enjoy
conspira,enjoyment
consternat,enlighten
constrain,enrich
contagious,ensur
contaminat,entertain
contemn,enthrallment
contempt,enthus
contend,enthusiastic
contention,entranced
contentious,entrancement
contestable,entrancing
contested,enviable
contester,enviably
contesting,equality
contests,equitabl
contradic,escap
contrary,essential
contrast,esteem
contraven,ethic
contrit,euphori
controvers,exalt
controversy,excel
convict,exceptional
convicted,excitab
convicting,excite
conviction,excited
convicts,exciting
cool reception,exhilarat
cool relations,exhilerat
coolness,expectancy
corpse,expert
corrod,expressiv
corros,exquisit
corrupt,extraordinary
costly,exuberan
counterfeit,exult
covert,exultant
covet,fabulous
coward,facile
cowed,factual
cower,fair
crabbed,fairer
crabby,fairest
crafty,fairness
cram,faith
cramp,faithful
cramped,fallib
cramps,fame
crank,famed
cranked,famou
cranki,fanci
cranks,fancy
cranky,fantastic
crap,farsighted
crapp,fascinat
craps,fashionab
crass,faultless
crave,favorab
crawl,favorite
craz,favourab
credul,favourite
creep,fearless
crie,feasible
crime,feast
crimes,fecund
criminal,fervor
cring,fervour
crippl,festal
crisi,festiv
critic,fete
critiqu,fidelity
croak,fiesta
crook,finesse
cross the line,finest
crossfire,firmly
crossly,firmness
crotchety,fit
crowded,fitness
crowding,flatter
crucifie,flawless
crucify,flexib
crude,flirt
cruel,flourish
crumb,fluen
crummy,flush
crush,flushed
cry,fond
crybab,fonder
crying,fondest
crypt,fondly
cryptic,fondness
crypts,forceful
culpab,foremost
culprit,foresight
cult,forgav
cultish,forgiv
cults,fortitud
cumbersom,fortunate
cunt,forward
curse,foster
cursed,fostered
curser,fosterer
curses,fostering
cursing,fosters
cursory,fragrant
curst,frank
curtain,franker
cut to pieces,frankest
cut up,frankness
cutt,fraternal
cutter,free
cutthroat,freeb
cutting,freed
cynic,freedom
daft,freeing
damag,freely
damm,freeman
damn,freeness
dander,freer
danger,frees
dark,freest
darn,freethink
darned,fresh
dash,friend
dashed,friendli
dashes,friendly
daunt,friends
daunted,friendship
daunting,frolic
daunts,frugal
dawdl,fruitful
daze,fruition
dead,fulfill
deadbeat,fullness
deaden,fun
deadlier,funni
deadliest,funny
deadlock,gaiety
deadly,gaily
deadweight,gala
deaf,galas
dearth,gallant
death,garnish
debatab,gayly
debilitat,generate
debt,generating
decadenc,generative
decay,genero
decease,genial
decei,geniu
decepti,gentle
decrie,gentler
decry,gentlest
defam,gently
default,genuin
defeat,germane
defect,giddy
defenceless,gift
defenseless,gifted
defensive,giggl
defian,glad
deficien,gladden
deficit,gladder
defil,gladdest
defy,gladly
degenerat,gladnes
degrad,gladsome
deject,glamor
delay,glamour
deleterious,gleam
delinquen,glean
deliriu,glee
deluded,gleeful
delug,glimmer
delusion,glisten
demean,glitter
demeaned,glorious
demeaning,glory
demeans,glossy
dement,glow
demis,glowed
demolish,glowing
demon,glows
demoniac,goddess
demonic,godli
demons,gold
demorali,golden
denial,good
denie,goodie
denigra,goodness
denounc,goodwill
dent,goodx
dented,goody
denting,gorgeous
dents,gownsman
deny,grace
depend,graced
dependen,graceful
deplet,graces
deplor,graci
deport,graft
depose,grand
deposed,grande
deposes,grandly
deposing,gratef
deprav,gratifi
deprecat,gratify
depreciat,gratitude
depres,great
depriv,greatness
derail,greet
derid,gregarious
